SubPlot;idTree;Xfield;Yfield;Family;spName;Genus;Species;CircCorr;species
4;103935;125,5000000000000;21,50000000000000;Sapotaceae;Pradosia_cochlearia;Pradosia;cochlearia;50,000000000000;cochlearia
4;103937;125,5000000000000;25,00000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;136,000000000000;falcata
4;103938;129,0000000000000;29,50000000000000;Fabaceae;Vouacapoua_americana;Vouacapoua;americana;115,750000000000;americana
4;103939;127,5000000000000;34,00000000000000;Fabaceae;Dicorynia_guianensis;Dicorynia;guianensis;317,000000000000;guianensis
4;103940;130,0000000000000;36,50000000000000;Lecythidaceae;Couratari_multiflora;Couratari;multiflora;42,000000000000;multiflora
4;103941;127,5000000000000;38,00000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;62,000000000000;falcata
4;103942;127,0000000000000;42,00000000000000;Malvaceae;Eriotheca_globosa;Eriotheca;globosa;49,000000000000;globosa
4;103943;127,5000000000000;42,50000000000000;Anacardiaceae;Anacardium_spruceanum;Anacardium;spruceanum;66,000000000000;spruceanum
4;103944;128,5000000000000;50,50000000000000;Malvaceae;Sterculia_speciosa;Sterculia;speciosa;54,000000000000;speciosa
4;103945;128,0000000000000;53,00000000000000;Sapotaceae;Pradosia_cochlearia;Pradosia;cochlearia;102,000000000000;cochlearia
4;103946;130,0000000000000;58,00000000000000;Fabaceae;Eperua_grandiflora;Eperua;grandiflora;154,000000000000;grandiflora
4;103948;130,0000000000000;64,00000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;43,500000000000;persistens
4;103952;125,5000000000000;79,50000000000000;Chrysobalanaceae;Licania_alba;Licania;alba;86,000000000000;alba
4;103954;126,0000000000000;84,00000000000000;Rubiaceae;Chimarrhis_turbinata;Chimarrhis;turbinata;99,250000000000;turbinata
4;103956;125,5000000000000;88,50000000000000;Chrysobalanaceae;Licania_canescens;Licania;canescens;80,000000000000;canescens
4;103957;125,5000000000000;90,50000000000000;Apocynaceae;Ambelania_acida;Ambelania;acida;45,500000000000;acida
4;103958;125,5000000000000;92,00000000000000;Clusiaceae;Tovomita_brevistaminea;Tovomita;brevistaminea;41,000000000000;brevistaminea
